publication_id,title,authors,journal,year,doi
195,Relationship between concentration of air pollutants and frequency of hospitalisations due to respiratory diseases,Anna Grzywa-Celińska;Adam Krusiński;Katarzyna Dos Santos Szewczyk;Ewa Kurys-Denis;Janusz Milanowski,Annals of Agricultural and Environmental Medicine,2024,https://doi.org/10.26444/aaem/169486
196,Spatio-temporal ozone variation in a case-crossover analysis of childhood asthma hospital visits in New York City,Jessie Loving Carr Shmool;Ellen Kinnee;Perry Elizabeth Sheffield;Jane Ellen Clougherty,Environmental Research,2016,https://doi.org/10.1016/j.envres.2016.01.020
197,Ozone and childhood respiratory disease in three US cities: evaluation of effect measure modification by neighborhood socioeconomic status using a Bayesian hierarchical approach,Cassandra R O’Lenick;Howard H Chang;Michael R Kramer;Andrea Winquist;James A Mulholland;Mariel D Friberg;Stefanie Ebelt Sarnat,Environmental Health,2017,https://doi.org/10.1186/s12940-017-0244-2
198,"Emergency Room Visits of Asthmatic Children, Relation to Air Pollution, Weather, and Airborne Allergens",Ben Zion Garty;Evsey Kosman;Eli Ganor;Victor Berger;Limor Garty;Tova Wietzen;Yesheskel Waisman;Mark Mimouni;Yozv Waisel,"Annals of Allergy, Asthma & Immunology",1998,https://doi.org/10.1016/S1081-1206(10)62707-X
199,Associations between grass and weed pollen and emergency department visits for asthma among children in Montreal,Léa Héguy;Michelle Garneau;Mark S Goldberg;Marie Raphoz;Frédéric Guay;Marie-France Valois,Environmental Research,2008,https://doi.org/10.1016/j.envres.2007.10.005
200,Air pollution and emergency department visits for cardiac and respiratory conditions: a multi-city time-series analysis,David M Stieb;Mieczyslaw Szyszkowicz;Brian H Rowe;Judith A Leech,Environmental Health,2009,https://doi.org/10.1186/1476-069X-8-25
201,Quantifying spatial heterogeneity of vulnerability to short-term PM2.5 exposure with data fusion framework,Cheng-Pin Kuo;Joshua S Fu;Pei-Chih Wu;Tain-Junn Cheng;Tsu-Yun Chiu;Chun-Sheng Huang;Chang-Fu Wu;Li-Wei Lai;Hsin-Chih Lai;Ciao-Kai Liang,Environmental Pollution,2021,https://doi.org/10.1016/j.envpol.2021.117266
202,"Temperature as a modifier of the effects of air pollution on cardiovascular disease hospital admissions in Cape Town, South Africa",Christian L Lokotola;Caradee Y Wright;Janine Wichmann,Environmental Science and Pollution Research,2020,https://doi.org/10.1007/s11356-020-07938-7
203,Ambient Air Pollution and Cardiovascular Emergency Department Visits in Potentially Sensitive Groups,Jennifer L Peel;Kristin B Metzger;Mitchel Klein;W Dana Flanders;James A Mulholland;Paige E Tolbert,American Journal of Epidemiology,2007,https://doi.org/10.1093/aje/kwk051
204,"Influência do clima nas hospitalizações por asma em crianças e adolescentes residentes em Belo Horizonte, Minas Gerais, Brasil",Cláudia Silva Dias;Sueli Aparecida Mingoti;Ana Paula Romanelli Ceolin;Maria Angélica De Salles Dias;Amélia Augusta De Lima Friche;Waleska Teixeira Caiaffa,Ciência & Saúde Coletiva,2020,https://doi.org/10.1590/1413-81232020255.04442018
